68.7,83,65.9,46.2,71.8,74.3,73.1,68.4,79.6,89.5,75.1,65.4,39.5,80,64.5,65,71.9,63.3,72.2,67.3,46.9,59.1,76.9,60.1,73.1,40.8,73.5,62.6,63.8,62.5,65.4,69.1,36.5,69.7,,53.1,32.1,65.4,58.8,65.4,66,,75.3,59.4,65.9,59.3,69.1,62.9,74.1,65.6,61.8,76.6,46.8,38.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.8,77.8,70.2,88.6,75,75.4,64.7,59.5,51.5,43.8,69.6,64.6,38.6,59.3,72.7,58.5,68.5,41.2,65.6,66.1,74,68,69.8,62,73.6,49.8,64,46.9,40.6,65,84.1,61.5,34.5,65.6,,64.4,47.3,68,73.9,65.9,59.2,,61.4,67.9,70.1,70.7,66.4,72.4,72.5,67.6,51.7,59.4,52.6,35.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.9,68,53.5,59.4,66.3,52.9,48.6,46.5,31.8,37.6,62.2,50.8,38.6,33.2,54.7,37,51.1,30.8,50.7,62.2,30.7,43.1,61,43.1,54.6,69.3,59.2,50.8,39.6,63.3,39.2,52.6,45.3,53.6,,42.9,45.6,51.9,50.5,54.3,46.1,,46.4,47.3,33.3,53.2,59,40.2,55.3,48.3,40.4,53.1,34.9,19.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,60.5,61.7,66.2,61.8,74,52.1,59.6,61.9,68.1,68.9,62.9,58.7,64.4,71.8,56.6,60.5,51.2,56.5,66.3,57.5,62.7,66.7,69.5,58.3,62.2,65,67.4,52,54.5,66.2,61.7,65.3,69.5,,64.9,65.4,71.9,65.1,56.4,61.5,,59.2,67.2,56.3,68.3,60.4,71.2,58.7,64.9,57,65.7,55.9,70.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.2,65.4,66,70.6,69.5,76.6,58.1,62.2,63.4,86.2,77.2,70.6,63.1,70.6,71.5,67.2,66.8,58.3,67.9,74.3,66.8,69.5,71.4,74.2,61.7,66.6,68.7,69.4,61.3,65.4,73.1,66,79.8,69,,68.6,74.3,70.2,65.1,60.7,74.9,,63.4,76.9,67,74,66.6,76.2,74.7,70.7,65.5,73.1,64.9,80.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
